,A,B,R_val,R_z_score,R_p_val
1375,DC_activated,NKT,0.46583849140077455,126.18152739198459,0.0
198,B_memory,Macro_alveolar_metallothioneins,0.4658227855345272,126.17727314887526,0.0
2808,Macrophage_intermediate,gdT,0.46559737462079154,126.1162161647251,0.0
1418,DC_plasmacytoid,Mast_cell,0.46557998322601885,126.11150536302793,0.0
1064,CD8_TRM,NK_CD16hi,0.465575701648005,126.11034561332195,0.0
1049,CD8_TRM,Mast_cell,0.46553611970510483,126.0996240647499,0.0
819,CD8_EM,DC_1,0.46548657375636243,126.08620356901199,0.0
1433,DC_plasmacytoid,NK_CD16hi,0.4654600463128855,126.07901808864162,0.0
917,CD8_EM_EMRA,Macro_CCL,0.4654311759476618,126.07119798178583,0.0
1525,Dividing_AT2,Macro_CHIT1,0.46520884680098584,126.01097575492139,0.0
604,CD4_EM_Effector,CD4_TRM,0.46514859423169574,125.99465516020312,0.0
1048,CD8_TRM,Macro_CCL,0.46512553639765275,125.98840949186184,0.0
220,B_memory,NK_CD11d,0.465066664322385,125.97246283113039,0.0
2387,MAIT,Macro_CCL,0.46504664481124325,125.9670401523691,0.0
988,CD8_TRM_EM,Monocyte_CD14,0.46482979337476854,125.9083016711645,0.0
730,CD4_TRM,NKT,0.4646858958088377,125.86932418220144,0.0
887,CD8_EM_EMRA,DC_2,0.4646359854458711,125.85580497769587,0.0
609,CD4_EM_Effector,CD8_TRM,0.46459878827229517,125.84572939084953,0.0
1318,DC_2,Neuroendocrine,0.46458468502975897,125.84190924992677,0.0
1290,DC_2,MAIT,0.46451109343277036,125.82197551692133,0.0
208,B_memory,Monocyte_CD16,0.4644580763621851,125.8076147994886,0.0
295,B_naive,NKT,0.4643741024349681,125.78486880792083,0.0
2834,Monocyte_CD14,gdT,0.46435254264086384,125.77902891319218,0.0
1315,DC_2,NKT,0.4643405092726378,125.77576943848054,0.0
888,CD8_EM_EMRA,DC_activated,0.464206820033066,125.7395570757058,0.0
1013,CD8_TRM_EM,T_reg,0.464104806731239,125.7119247643437,0.0
2313,ILC,Monocyte_CD14,0.46404952714860126,125.69695120097447,0.0
659,CD4_EM_Effector,NK_CD16hi,0.4640321618101343,125.69224745714074,0.0
3040,NK_CD16hi,NKT,0.4639116861660377,125.65961425686582,0.0
1350,DC_activated,MAIT,0.46381003020736117,125.63207873893187,0.0
2651,Macro_int,NK_CD56bright,0.463777728102213,125.62332907774926,0.0
2537,Macro_alveolar_metallothioneins,Macrophage_intermediate,0.4637406619140831,125.61328897088997,0.0
2723,Mast_cell,T_reg,0.46367184905876496,125.59464965415567,0.0
279,B_naive,Mast_cell,0.46364910741997173,125.58848963352342,0.0
813,CD4_naive_CM,gdT,0.46361555491897954,125.57940127800715,0.0
660,CD4_EM_Effector,NKT,0.4634776971497351,125.54205978689548,0.0
2783,Macrophage_intermediate,Monocyte_CD16,0.46333122951496813,125.50238614418551,0.0
778,CD4_naive_CM,Macro_alveolar_metallothioneins,0.46331428537816827,125.49779649111645,0.0
1412,DC_plasmacytoid,Macro_AW_CX3CR1,0.46308873177678944,125.43670085720873,0.0
242,B_naive,CD8_EM_EMRA,0.46303270367930577,125.4215245438558,0.0
2795,Macrophage_intermediate,NK_CD11d,0.4630110489200761,125.41565892595314,0.0
197,B_memory,Macro_AW_CX3CR1,0.46296972765287964,125.4044662471495,0.0
